,Product Title, Price,Parent Category,Sub Category,Product Tag,Short Description,Meta,Long Description,Product-Image-(Vincent-will-fill-in),Walmart Price,Shoppers Value,Willow Grove,Main Street Bakery
Sauce,Marinara Sauce - Vegetable ,3.3,All Groceries,Other,Shelf Stable,Ragu,,"marinara vegetable, 24 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/ragu.jpg,1.77,2.72,,
Sauce,Marinara Sauce - Meat,3.31,All Groceries,Other,Shelf Stable,Prego,,"marinara w/Meat, 24 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/prego-Meat.jpg,1.98,2.73,,
Sauce,Marinara Sauce - Meat,3.3,All Groceries,Other,Shelf Stable,Ragu,,"marinara w/ Meat, 24 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/ragu-Meat-sauce.jpg,1.64,2.72,,
Beans,Kidney Beans,1.42,All Groceries,Canned,Shelf Stable,Hanover,,"Red Kidney, 15 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Hanover-red-beans.jpg,0.66,1.17,,
Beans,Kidney Beans,0.97,All Groceries,Canned,Shelf Stable,Store Brand,,"Red Kidney, 15 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/canned-red-kidney-beans.jpg,0.62,0.8,,
Beans,Black Beans,1.42,All Groceries,Canned,Shelf Stable,Hanover,,"Black, 15 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/hanover_black_beans.jpg,0.66,1.17,,
Beans,Black Beans,0.89,All Groceries,Canned,Shelf Stable,Store Brand,,"Black, 15 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-BLACK-BEANS.jpg,0.62,0.73,,
Beans,Great Northern Beans,0.8,All Groceries,Canned,Shelf Stable,Hanover,,"Great Northern, 15 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Hanover-navy-beans.jpg,0.66,,,
Beans,Great Northern Beans,0.85,All Groceries,Canned,Shelf Stable,Store Brand,,"Great Northern, 15 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/great-northern-beans.jpg,,0.7,,
Corn,Corn,0.83,All Groceries,Canned,Shelf Stable,Green Giant,,"whole kernel sweet, 15.25 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/GG-corn.jpg,0.68,,,
Corn,Corn,0.68,All Groceries,Canned,Shelf Stable,Store Brand,,"whole kernel sweet, 15.25 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/corn-whole-kernal.jpg,0.5,0.56,,
Peas,Peas,1.77,All Groceries,Canned,Shelf Stable,Green Giant,,"Sweet peas, 15 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/GG-sweet-peas.jpg,0.68,1.46,,
Peas,Peas,0.85,All Groceries,Canned,Shelf Stable,Store Brand,,"Sweet peas, 15 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/canned-peas.jpg,0.5,0.7,,
Tomatoes,Diced Tomatoes,1.98,All Groceries,Canned,Shelf Stable,Hunt's,,"diced, 14.5 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Hunts_Diced_Tomatoes.jpg,0.98,1.63,,
Tomatoes,Diced Tomatoes,0.9,All Groceries,Canned,Shelf Stable,Store Brand,,"diced, 14.5 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/dicedtomatoes.jpg,0.57,0.74,,
Tomatoes,"Diced Tomatoes, with Green Chilies",1.95,All Groceries,Canned,Shelf Stable,Ro* Tel,,"diced w/ green chilies, 10 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Rotel-tomatoes-w-chilies.jpg,0.98,1.61,,
Tomatoes,Tomato Sauce,1.12,All Groceries,Canned,Shelf Stable,Store Brand,,"sauce, 15 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Tomato_Sauce.jpg,0.92,0.68,,
Tomatoes,Tomato Sauce,1.6,All Groceries,Canned,Shelf Stable,Contadina/ Hunt's,,"sauce, 15 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/hunts-tomato-sauce.jpg,0.88,1.32,,
Green Beans,Green Beans,1.94,All Groceries,Canned,Shelf Stable,Del Monte,,"cut, 14.5 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/delmonte_cut_green_beans.jpg,0.68,1.6,,
Green Beans,Green Beans,0.74,All Groceries,Canned,Shelf Stable,Store Brand,,"cut, 14.5 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/beans.jpg,0.5,0.61,,
Soup,Chicken Noodle Soup,1.69,All Groceries,Canned,Shelf Stable,Campbell's,,"chicken noodle condensed, 10.75 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/campbellsCondensed-Chicken-Noodle1.jpg,1,1.39,,
Soup,Chicken Noodle Soup,1.21,All Groceries,Canned,Shelf Stable,Store Brand,,"chicken noodle condensed, 10.75 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/chicken-noodle-soup.jpg,1,0.95,,
Soup,Tomato Soup,1.21,All Groceries,Canned,Shelf Stable,Campbell's,,"tomato, condensed, 10.75 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/campbells-tomato-soup-484.jpg,1,0.86,,
Soup,Tomato Soup,0.95,All Groceries,Canned,Shelf Stable,Store Brand,,"tomato, condensed, 10.75 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/tomato-soup.jpg,0.78,0.66,,
Soup,Minestrone Soup,2.64,All Groceries,Canned,Shelf Stable,Progresso,,"vegetable Minestrone, 19 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/progresso-minestrone-vegetable-classics-46239.jpg,1.58,2.18,,
Salad Dressing,Thousand Island Dressing,2.01,All Groceries,Condiments,Shelf Stable,Wish Bone,,"Thousand Island, 8 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-WishboneThousandIsland.jpg,1.32,1.66,,
Salad Dressing,Italian Dressing,1.6,All Groceries,Condiments,Shelf Stable,Wish Bone,,"Italian, 8 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-wishbone-italian.jpg,1.32,,,
Salad Dressing,Ranch Dressing,0,All Groceries,Condiments,Shelf Stable,Wish Bone,,"Ranch, 8 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-Wishbone-Ranch.jpg,,,,
Pickle Relish,"Pickle Relish, Sweet",1.99,All Groceries,Condiments,Shelf Stable,Mt. Olive,,"sweet, 8 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Mt-Olive-Sweet-Relish.jpg,0.96,1.64,,
Pickle Relish,"Pickle Relish, Dill",1.99,All Groceries,Condiments,Shelf Stable,Mt. Olive,,"dill, 8 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Mt-Olive-dill-relish.jpg,,1.64,,
Mayonnaise,Mayonnaise,3.61,All Groceries,Condiments,Shelf Stable,Hellmann's,,8 ounce,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Hellman's-mayo.jpg,2.98,2.26,,
"Mustard_, Yellow","Mustard_, Yellow",1.71,All Groceries,Condiments,Shelf Stable,French's,,8 ounce,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Classic-Yellow_Overview.jpg,1.14,1.41,,
"Mustard, Dijon ","Mustard, Dijon ",3.61,All Groceries,Condiments,Shelf Stable,Grey Poupon,,8 ounce,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/grey_poupon_dijon.jpg,2.98,2.87,,
Ketchup_,Ketchup_,2.16,All Groceries,Condiments,Shelf Stable,Heinz,,8 ounce,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/HZK_3D_38oz-Ketchup-small.jpg,1.78,1.76,,
Taco Seasoning,Taco Seasoning,1.02,All Groceries,Other,Shelf Stable,Old El Paso,,"Original, 1 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/seasoning-mix-taco-large.jpg,0.78,0.84,,
Tortilla Chips,Tortilla Chips,4.53,All Groceries,Snack,Shelf Stable,Tostitos,,"corn, 9 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/tostitos.jpg,,3.74,,
Salsa,Salsa,3.33,All Groceries,Snack,Shelf Stable,Pace,,"chunky, medium, 16 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/pace-salsa.jpg,1.62,2.75,,
Doritos & Cheetos Mix,Doritos & Cheetos Mix,8.45,All Groceries,Snack,Shelf Stable,Frito Lay,,"Classic Variety Pack, 20, 1-ounce bags",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/doritos-cheetos-mix-pack.jpg,6.98,6.85,,
Utz Snack Pack Potato Chips,Utz Snack Pack Potato Chips,4.26,All Groceries,Snack,Shelf Stable,Utz,,"Variety Pack, 12, 1-ounce bags",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-utz-snack-pack.jpg,3.22,3.52,,
"Popcorn, Microwave","Popcorn, Microwave",6.39,All Groceries,Snack,Shelf Stable,Orville Redenbacher's,,"movie theater butter, 6 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/redenbacher-movie-theater-popcorn.jpg,2.96,5.28,,
Goldfish,Goldfish,2.82,All Groceries,Snack,Shelf Stable,Pepperidge Farm,,"Cheddar baked, 6.6 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/goldfish.jpg,1.98,2.33,,
Peanut Butter,Creamy Peanut Butter,3.28,All Groceries,Other,Shelf Stable,Jif,,"creamy, 16 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/jif-creamy.jpg,2.48,2.71,,
Peanut Butter,Chunky Peanut Butter,3.28,All Groceries,Other,Shelf Stable,Skippy,,"chunky, 16.3 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/skippy-chunky.jpg,2.58,2.71,,
Peanut Butter,Creamy Peanut Butter,3.3,All Groceries,Other,Shelf Stable,Smucker's,,"creamy, all natural, 16 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/peanut-butter-smuckers-creamy.jpg,2.72,,,
Jam,Jam,3.62,All Groceries,Other,Shelf Stable,Smucker's,,"strawberry, 18 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/smuckers-strawberry-jam.jpg,2.54,2.99,,
Jelly,Jelly,2.64,All Groceries,Other,Shelf Stable,Smucker's,,"grape, 18 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/smuckers-grape-jelly.jpg,1.93,2.18,,
Preserves,Preserves,2.64,All Groceries,Other,Shelf Stable,Smucker's,,"strawberry, 12 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/smuckers-strawberry-preserves.jpg,,2.18,,
Honey,Honey,5.63,All Groceries,Other,Shelf Stable,Sue Bee,,"clover, 12 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Sue-Bee-Bear-12-oz-500x800.jpg,,4.65,,
Honey,Honey,4.02,All Groceries,Other,Shelf Stable,Busy Bee Bear,,"clover, 12 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/busy-bee-bear-honey.jpg,3.32,,,
Maple Syrup,Maple Syrup,5.09,All Groceries,Other,Shelf Stable,Aunt Jemima,,"Original, 24 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Shelf-aunt-jemima-syrup-24-oz.jpg,2.98,4.2,,
Pancake/Waffle Mix,Pancake/Waffle Mix,3.6,All Groceries,Other,Shelf Stable,Aunt Jemima,,"Complete, Original, 32 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Shelf-aunt-jemima-pancake-waffle-mix.jpg,2.5,2.97,,
Coffee,Ground Coffee - Breakfast Blend,4.93,All Groceries,Beverage,Shelf Stable,Folgers,,"ground, breakfast blend, 10.8 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/folgers-coffee-breakfast-blend.jpg,,4.07,,
Coffee,Ground Coffee - Medium Classic,4.77,All Groceries,Beverage,Shelf Stable,Folgers,,"ground, medium classic, 11.3 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/folgers-medium-roast-coffee.jpg,3.94,,,
Tea,Tea,1.98,All Groceries,Beverage,Shelf Stable,Lipton,,"black, bags, 20 count ",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/LIPTON-BLACK-TEA-BAG-20ct,,1.63,,
Soda,Cola,1.19,All Groceries,Beverage,Shelf Stable,Pepsi,,"Cola, 2 liter",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Pepsi-regular.jpg,,0.98,,
Soda,Cola,1.17,All Groceries,Beverage,Shelf Stable,Coke,,"Cola, 2 liter",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/coke.jpg,,0.96,,
Soda,Diet Cola,1.19,All Groceries,Beverage,Shelf Stable,Pepsi,,"Diet Cola, 2 liter",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/pepsi-diet-copy.jpg,,0.98,,
Soda,Diet Cola,1.17,All Groceries,Beverage,Shelf Stable,Coke,,"Diet Cola, 2 liter",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/coke-diet.jpg,,0.96,,
Water,Water,4.35,All Groceries,Beverage,Shelf Stable,Nestle',,"16 ounce, 24 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Nestle-bottled-water.jpg,,3.59,,
Water,Water,3.56,All Groceries,Beverage,Shelf Stable,Store Brand,,"16 ounce, 24 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/bottle-water.jpg,,2.94,,
Plates,Plates,4.02,All Groceries,Paper Products,Shelf Stable,Chinet,,"10"" dinner, 15 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/chinet-dinner-plates.jpg,,3.32,,
Towels,Towels,2.64,All Groceries,Paper Products,Shelf Stable,Bounty,,"full sheets, roll",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-bounty-paper-towels.jpg,,2.18,,
Forks,Forks,1.18,All Groceries,Kitchen Ware,Shelf Stable,Store Brand,,24 count,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/plastic_forks.jpg,0.97,0.84,,
Spoons,Spoons,1.18,All Groceries,Kitchen Ware,Shelf Stable,Store Brand,,24 count,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/plastic-spoons.jpg,0.97,0.84,,
Plastic Wrap,Plastic Wrap,1.99,All Groceries,Kitchen Ware,Shelf Stable,Glad,,"cling wrap, 100 square feet",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/GLAD-CLING-WRAP-100-SQ.FT,,1.64,,
Plastic Wrap,Plastic Wrap,3.01,All Groceries,Kitchen Ware,Shelf Stable,Glad,,"cling wrap, 200 '",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/glad-cling-wrap-200.jpg,2.48,,,
Aluminum Foil,Aluminum Foil,2.07,All Groceries,Kitchen Ware,Shelf Stable,Reynolds,,30 ',https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/reynolds-aluminum-foil-30.jpg,1.66,1.71,,
Baggies,Baggies,3.61,All Groceries,Kitchen Ware,Shelf Stable,Ziploc,,"easy-open, quart sized, 20 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-ziploc-bags.jpg,2.98,2.3,,
Diapers,Diapers - Size 1,14.75,All Groceries,Baby,Shelf Stable,Huggies,,"size 1, 35 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/huggies-sz-1.jpg,8.96,12.19,,
Diapers,Diapers - Size 2,11.97,All Groceries,Baby,Shelf Stable,Huggies,,"size 2, 32 count ",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/huggies-sz-2.jpg,8.96,9.89,,
Diapers,Diapers - Size 3,15.12,All Groceries,Baby,Shelf Stable,Huggies,,"size 3, 32 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/huggies-sz-3.jpg,8.96,12.49,,
Diapers,Diapers - Size 4,11.97,All Groceries,Baby,Shelf Stable,Huggies,,"size 4, 29 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/huggies-sz-4.jpg,8.96,9.89,,
Diapers,Diapers - Size 5,11.97,All Groceries,Baby,Shelf Stable,Huggies,,"size 5, 24 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/huggies-sz-5.jpg,8.96,9.89,,
Diapers,Diapers - Size 1,13.3,All Groceries,Baby,Shelf Stable,Pampers,,"size 1, 35 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/pampers-sz-1.jpg,8.97,10.99,,
Diapers,Diapers - Size 2,13.3,All Groceries,Baby,Shelf Stable,Pampers,,"size 2, 32 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/papmers-sz-2.jpg,8.97,10.99,,
Diapers,Diapers - Size 3,13.44,All Groceries,Baby,Shelf Stable,Pampers,,"size 3, 32 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/pampers-sz-3.jpg,8.97,11.1,,
Diapers,Diapers - Size 4,13.44,All Groceries,Baby,Shelf Stable,Pampers,,"size 4, 29 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Pampers-sz-4.jpg,8.97,11.1,,
Diapers,Diapers - Size 5,13.3,All Groceries,Baby,Shelf Stable,Pampers,,"size 5, 24 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/papmers-sz-5.jpg,8.97,10.99,,
Baby Wipes,Baby Wipes,3.22,All Groceries,Baby,Shelf Stable,Huggies,,"once and done, 56 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/huggies-Baby-wipes.jpg,1.97,2.66,,
Baby Wipes,Baby Wipes,1.07,All Groceries,Baby,Shelf Stable,Store Brand,,80 count,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/baby-wipes.png,,0.88,,
Pain Reliever,Acetaminophen - Children's,8.03,All Groceries,"Baby,Child",Shelf Stable,PediaCare,,"acetaminophen, 4 ounce, grape",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/pediacare-4-oz.jpg,,6.63,,
Pain Reliever,Tylenol - Children's,6.87,All Groceries,"Baby,Child",Shelf Stable,Tylenol,,"acetaminophen, 4 ounce, grape",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/tylenol-4-oz.jpeg,5.67,,,
Pain Reliever,Ibuprofen - Children's,7.63,All Groceries,"Baby,Child",Shelf Stable,Advil,,"ibuprofen, 4 ounce, grape",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/advil-4-oz.jpg,5.48,6.3,,
Cereal,Baby Cereal,3.33,All Groceries,Baby,Shelf Stable,Gerber,,"single grain, 8 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/gerber-rice-8-oz.jpg,2.18,2.75,,
Cereal,Organic Baby Cereal,4.6,All Groceries,Baby,Shelf Stable,Gerber,,single grain/ organic,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Gerber-organic-oatmeal-cereal.jpg,,3.8,,
Food Pouch,"Food Pouch - Apple, Peach, Strawberry",1.37,All Groceries,Baby,Shelf Stable,Beech Nut,,"apple, peach, strawberry, 4 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-Beech-Nut-APS-fruitie.jpg,,1.13,,
Food Pouch,"Organic Food Pouch - Pears, Peaches, Strawberries",1.43,All Groceries,Baby,Shelf Stable,Gerber organic,,"pears, peaches, strawberries, 4 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Gerber-fruit-PPS.jpg,1.18,,,
Food Pouch,"Organic Food Pouch - Pears, Spinach",1.43,All Groceries,Baby,Shelf Stable,Gerber organic,,"pear, spinach, 3.5 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Gerber-organic-pear-spinach.jpg,1.18,,,
Formula,Baby Formula,22.61,All Groceries,Baby,Shelf Stable,Similac,,"advance w/ iron, 12.4 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Similac-12.4-oz.jpg,15.78,18.68,,
Juice,Fruit Juice,3.33,All Groceries,"Baby,Child",Shelf Stable,Capri Sun,,"fruit, 6 ounce, 10 count_",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/fruit-punch.jpg,2.48,2.75,,
Juice,Juice - Pacific Cooler,3.33,All Groceries,"Baby,Child",Shelf Stable,Capri Sun,,"pacific cooler, 6 ounce, 10 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/cooler.jpg,2.48,2.75,,
Fruit,Applesauce,2.72,All Groceries,"Baby,Child",Shelf Stable,Motts,,"applesauce, original, 4 ounce, 6 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/mott-org.jpg,1.98,2.24,,
Fruit,Applesauce,1.99,All Groceries,"Baby,Child",Shelf Stable,Store Brand,,"applesauce, original, 4 ounce, 6 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/generic-apple-sauce.jpg,1.52,1.64,,
Fruit,Applesauce - Squeezable,2.58,All Groceries,"Baby,Child",Shelf Stable,Mussleman's,,"applesauce, squeezables, 3 ounce, 4 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/MusselmanLogo_withApples1.jpg,,2.13,,
Fruit,Applesauce - Unsweetened,2.58,All Groceries,"Baby,Child",Shelf Stable,Mussleman's,,"applesauce, unsweetened, squeezables, 3 ounce, 4 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/musslemans-unsweetened-pouches.jpg,,2.13,,
Yogurt,Kids Yogurt - Apple Berry,6.47,All Groceries,"Baby,Child","Shelf, Perishable",GoGo squeeZ,,"apple berry, 3.2 ounces, 12 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/gogo-appleberry.jpg,5.34,,,
Yogurt,Kids Yogurt - Strawberry-Banana & Watermelon,2.95,All Groceries,"Baby,Child","Shelf, Perishable",Go-Gurt,,"strawberry-banana & watermelon, 2.oz, 8 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/gogurt-sbw.jpg,,2.43,,
Yogurt,Kids Yogurt - Berry / Strawberry,3.28,All Groceries,"Baby,Child","Shelf, Perishable",Go-Gurt,,"berry/ strawberry, 2 ounce, 8 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/gogurt-sb.jpg,,2.71,,
Yogurt,Kids Yogurt - Raspberry,3.47,All Groceries,"Baby,Child","Shelf, Perishable",Danimals,,"raspberry, 3 ounce, 6 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/danimals-rasp.jpg,,2.86,,
Yogurt,Kids Yogurt - Strawberry/Kiwi,3.34,All Groceries,"Baby,Child","Shelf, Perishable",Danimals,,"strawberry/ kiwi, 3 ounce, 6 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/danimals-sk.jpg,2.76,,,
"Beef, Willow Grove ","Ground Beef, Willow Grove ",7.2,All Groceries,Meat,Freezer,Willow Grove,farm raised,"ground, frozen, 1 pound",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/fridge-WG-Ground-Beef.jpg,,,$5.95 ,
"Beef, Willow Grove ","Stew Beef, Willow Grove ",8.47,All Groceries,Meat,Freezer,Willow Grove,farm raised,"stew, frozen, 1 pound",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/freezer-WG-Stew-Beef.jpg,,,$7.00 ,
"Beef, Willow Grove ","Chuck Roast Beef, Willow Grove ",21.78,All Groceries,Meat,Freezer,Willow Grove,farm raised,"chuck roast, frozen, 3 pound, approx.",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/fridge-WG-Chuck-Roast.jpg,,,$18.00 ,
"Salmon, Willow Grove","Salmon, Willow Grove",13.31,All Groceries,Seafood,Refrigerated,Willow Grove,farm raised,"antibiotic free, fresh, 1 pound",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/fridge-WG-Fresh-Salmon.jpg,,,$11.00 ,
"Tuna, Willow Grove","Tuna, Willow Grove",10.59,All Groceries,Seafood,Freezer,Willow Grove,,"steak, frozen, 10 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/freezer-WG-Tuna-Steak.jpg,,,$8.75 ,
"Snapper, Willow Grove","Snapper, Willow Grove",7.26,All Groceries,Seafood,Freezer,Willow Grove,,"filet, frozen, 8 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/freezer-WG-Snapper-filet.jpg,,,$6.00 ,
"Shrimp, Willow Grove","Shrimp, Willow Grove",16.94,All Groceries,Seafood,Freezer,Willow Grove,,"gulf, frozen, 1 pound, 21-25 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/freezer-WG-Gulf-Shrimp.jpg,,,$14.00 ,
"Bread, Main Street Bakery","White Bread, Main Street Bakery",4,All Groceries,Bakery,"Shelf, Perishable",Main Street Bakery,,"white, loaf",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/msb-white.jpg,,,,$3.00 
"Bread, Main Street Bakery","Oatmeal Bread, Main Street Bakery",4.5,All Groceries,Bakery,"Shelf, Perishable",Main Street Bakery,,"oatmeal, loaf",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/MSB-bread-loaf.jpg,,,,$3.50 
"Bread, Main Street Bakery","Black Russian Bread, Main Street Bakery",5,All Groceries,Bakery,"Shelf, Perishable",Main Street Bakery,,Russian Black_loaf,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/msb-russian.jpg,,,,$4.00 
"Bread, Main Street Bakery","Cranberry Walnut Bread, Main Street Bakery",5,All Groceries,Bakery,"Shelf, Perishable",Main Street Bakery,,Cranberry Walnut loaf,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/msb-cranberry-walnut.jpg,,,,$4.00 
"Muffin, Main Street Bakery","Chocolate Chip Muffin, Main Street Bakery",2.5,All Groceries,Bakery,"Shelf, Perishable",Main Street Bakery,,"Chocolate chip, each",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/blank.jpg,,,,$1.85 
"Muffin, Main Street Bakery","Pumpkin Cranberry Walnut Muffin, Main Street Bakery",2.5,All Groceries,Bakery,"Shelf, Perishable",Main Street Bakery,,Pumpkin Cranberry Walnut,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/MSB-Pump-cran-walnut-muffin.jpg,,,,$1.85 
"Bagel, Main Street Bakery","Bagel, Main Street Bakery",6,All Groceries,Bakery,"Shelf, Perishable",Main Street Bakery,,"Plain, 6 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/MSB-bagel.jpg,,,,$5.65 
